Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2016-03-21 00:00:00-04:00,23.991078226933524,24.380624943797773,23.81215843358732,23.986549377441406,142010800,0.0,0.0,AAPL
2016-03-22 00:00:00-04:00,23.83706781003208,24.299088144055386,23.828008384512952,24.169994354248047,129777600,0.0,0.0,AAPL
2016-03-23 00:00:00-04:00,24.115646517411406,24.249269194745885,23.984287401181106,24.036376953125,102814000,0.0,0.0,AAPL
2016-03-24 00:00:00-04:00,23.886892636551153,24.063547105898483,23.755533564710287,23.932188034057617,104532000,0.0,0.0,AAPL
2016-03-28 00:00:00-04:00,24.00693115137055,24.049962995987833,23.79403894483319,23.823482513427734,77645600,0.0,0.0,AAPL
2016-03-29 00:00:00-04:00,23.7555379850751,24.412331738585134,23.753272696405663,24.387418746948242,124760400,0.0,0.0,AAPL
2016-03-30 00:00:00-04:00,24.607105557135252,25.007975263716304,24.595780841484046,24.813201904296875,182404400,0.0,0.0,AAPL
2016-03-31 00:00:00-04:00,24.849436415967897,24.890202967996302,24.659191930532415,24.684104919433594,103553600,0.0,0.0,AAPL
2016-04-01 00:00:00-04:00,24.63654048044911,24.912846876821035,24.50518141858237,24.910581588745117,103496000,0.0,0.0,AAPL
2016-04-04 00:00:00-04:00,25.007976058383598,25.408847505611973,24.974003638259468,25.166513442993164,149424800,0.0,0.0,AAPL
2016-04-05 00:00:00-04:00,24.80187653745049,25.078182984908835,24.781492396815462,24.86981964111328,106314800,0.0,0.0,AAPL
2016-04-06 00:00:00-04:00,24.9649383520245,25.134798673115025,24.731662059617005,25.130268096923828,105616400,0.0,0.0,AAPL
2016-04-07 00:00:00-04:00,24.901522248683936,25.007968325801674,24.48706438063093,24.582185745239258,127207600,0.0,0.0,AAPL
2016-04-08 00:00:00-04:00,24.665985573310813,24.860757162220555,24.498388803456823,24.609365463256836,94326800,0.0,0.0,AAPL
2016-04-11 00:00:00-04:00,24.679585441421604,25.051013399642258,24.64787830312785,24.690908432006836,117630000,0.0,0.0,AAPL
2016-04-12 00:00:00-04:00,24.76337278081606,25.026090945019725,24.609367726100686,25.012502670288086,108929200,0.0,0.0,AAPL
2016-04-13 00:00:00-04:00,25.094031248372715,25.44280957490804,25.094031248372715,25.374866485595703,133029200,0.0,0.0,AAPL
2016-04-14 00:00:00-04:00,25.27975240129216,25.4541416147626,25.21407285317995,25.38846206665039,101895600,0.0,0.0,AAPL
2016-04-15 00:00:00-04:00,25.390723951959068,25.433755791346098,24.851701091028172,24.878877639770508,187756000,0.0,0.0,AAPL
2016-04-18 00:00:00-04:00,24.661453816477476,24.675042089309276,24.219817670358456,24.342117309570312,243286000,0.0,0.0,AAPL
2016-04-19 00:00:00-04:00,24.432708709948805,24.45988698420057,24.059017374461504,24.213024139404297,129539600,0.0,0.0,AAPL
2016-04-20 00:00:00-04:00,24.15187866912047,24.48027467966977,24.020519573737165,24.262853622436523,122444000,0.0,0.0,AAPL
2016-04-21 00:00:00-04:00,24.217554538615328,24.217554538615328,23.89821627536529,24.000133514404297,126210000,0.0,0.0,AAPL
2016-04-22 00:00:00-04:00,23.78271247781748,24.115639014935994,23.694385240774857,23.9344539642334,134732400,0.0,0.0,AAPL
2016-04-25 00:00:00-04:00,23.78044987288941,23.927662527208124,23.66947492396375,23.798568725585938,112126400,0.0,0.0,AAPL
2016-04-26 00:00:00-04:00,23.533585702810786,23.848393407654267,23.533585702810786,23.633235931396484,224064800,0.0,0.0,AAPL
2016-04-27 00:00:00-04:00,21.742123500258902,22.355885320885914,21.66964982437439,22.15431785583496,458408400,0.0,0.0,AAPL
2016-04-28 00:00:00-04:00,22.106755770050007,22.167904728247734,21.345781357430408,21.477140426635742,328970800,0.0,0.0,AAPL
2016-04-29 00:00:00-04:00,21.286900043048345,21.452231555372222,20.95170989694444,21.23027992248535,274126000,0.0,0.0,AAPL
2016-05-02 00:00:00-04:00,21.282369124043885,21.307282112901614,20.926794870603057,21.207630157470703,192640400,0.0,0.0,AAPL
2016-05-03 00:00:00-04:00,21.33446011672984,21.683240256607103,21.216691029662577,21.556411743164062,227325200,0.0,0.0,AAPL
2016-05-04 00:00:00-04:00,21.560935449048333,21.71947278094204,21.248393089230976,21.332191467285156,164102000,0.0,0.0,AAPL
2016-05-05 00:00:00-04:00,21.418779062826562,21.43472914791066,21.118004788077215,21.24560546875,143562000,0.1425,0.0,AAPL
2016-05-06 00:00:00-04:00,21.275233750654156,21.293461182259097,20.928886473720148,21.127124786376953,174799600,0.0,0.0,AAPL
2016-05-09 00:00:00-04:00,21.19091856626584,21.366369492712273,21.09749540265691,21.143068313598633,131745600,0.0,0.0,AAPL
2016-05-10 00:00:00-04:00,21.266124113255707,21.320809897652,20.988135290060768,21.286630630493164,134747200,0.0,0.0,AAPL
2016-05-11 00:00:00-04:00,21.30029133423994,21.320797839880143,21.067873839745104,21.079267501831055,114876400,0.0,0.0,AAPL
2016-05-12 00:00:00-04:00,21.127118511980022,21.140789516231006,20.386575648952064,20.58481216430664,305258800,0.0,0.0,AAPL
2016-05-13 00:00:00-04:00,20.507339794719382,20.887864460354056,20.507339794719382,20.625825881958008,177571200,0.0,0.0,AAPL
2016-05-16 00:00:00-04:00,21.05192379387707,21.507642463277467,20.883308372958975,21.391433715820312,245039200,0.0,0.0,AAPL
2016-05-17 00:00:00-04:00,21.54410436737179,21.57828188250692,21.19320072507569,21.30257225036621,187667600,0.0,0.0,AAPL
2016-05-18 00:00:00-04:00,21.45524054073366,21.694491852089957,21.39371753322122,21.546382904052734,168249600,0.0,0.0,AAPL
2016-05-19 00:00:00-04:00,21.56461799675834,21.56461799675834,21.32080845719429,21.464359283447266,121768400,0.0,0.0,AAPL
2016-05-20 00:00:00-04:00,21.564614652624435,21.74462379705001,21.537270897299123,21.696773529052734,128104000,0.0,0.0,AAPL
2016-05-23 00:00:00-04:00,21.84487628086613,22.14565055016951,21.79930336828752,21.972476959228516,152074400,0.0,0.0,AAPL
2016-05-24 00:00:00-04:00,22.15249341929196,22.35073000503897,22.065905725812176,22.307437896728516,140560800,0.0,0.0,AAPL
2016-05-25 00:00:00-04:00,22.48288669757087,22.726696187300238,22.355285989205374,22.69935417175293,152675200,0.0,0.0,AAPL
2016-05-26 00:00:00-04:00,22.713025880763425,22.952278954764644,22.4760518876046,22.879364013671875,225324800,0.0,0.0,AAPL
2016-05-27 00:00:00-04:00,22.658337193167394,22.893032075275944,22.615043354880893,22.86568832397461,145364800,0.0,0.0,AAPL
2016-05-31 00:00:00-04:00,22.694795833796864,22.877084048698546,22.51706578040381,22.754039764404297,169228800,0.0,0.0,AAPL
2016-06-01 00:00:00-04:00,22.56263257340704,22.681120411559874,22.40541080054539,22.43503189086914,116693200,0.0,0.0,AAPL
2016-06-02 00:00:00-04:00,22.239074706130616,22.29376046950281,22.018050833697107,22.26641845703125,160766400,0.0,0.0,AAPL
2016-06-03 00:00:00-04:00,22.28236392901657,22.391735433109687,22.204890853390957,22.31198501586914,114019600,0.0,0.0,AAPL
2016-06-06 00:00:00-04:00,22.32794217168202,23.216594181455072,22.227685217578443,22.473772048950195,93170000,0.0,0.0,AAPL
2016-06-07 00:00:00-04:00,22.615044046406567,22.756317491473023,22.54896461589625,22.56491470336914,89638000,0.0,0.0,AAPL
2016-06-08 00:00:00-04:00,22.56263241058802,22.68567667004546,22.485161064871615,22.544404983520508,83392400,0.0,0.0,AAPL
2016-06-09 00:00:00-04:00,22.44415144520177,22.783661472688777,22.43503686036885,22.70619010925293,106405600,0.0,0.0,AAPL
2016-06-10 00:00:00-04:00,22.45098201313382,22.63782661505563,22.439590088419287,22.51934051513672,126851600,0.0,0.0,AAPL
2016-06-13 00:00:00-04:00,22.487440161885598,22.585419753465544,22.12514288569783,22.179828643798828,152082000,0.0,0.0,AAPL
2016-06-14 00:00:00-04:00,22.17527603258587,22.43959376261823,22.045396248257337,22.207176208496094,127727600,0.0,0.0,AAPL
2016-06-15 00:00:00-04:00,22.289202705853434,22.423640633323316,22.10919360138673,22.134258270263672,117780800,0.0,0.0,AAPL
2016-06-16 00:00:00-04:00,21.977035417316305,22.273253292019113,21.890449483038555,22.22768211364746,125307200,0.0,0.0,AAPL
2016-06-17 00:00:00-04:00,22.015774912126393,22.022610415685328,21.715000586528955,21.72183609008789,244032800,0.0,0.0,AAPL
2016-06-20 00:00:00-04:00,21.87450359796957,22.00438339354534,21.653479689716388,21.669429779052734,137647600,0.0,0.0,AAPL
2016-06-21 00:00:00-04:00,21.63297048872019,21.954251316406683,21.573726562077685,21.853994369506836,142185600,0.0,0.0,AAPL
2016-06-22 00:00:00-04:00,21.931463980356007,22.077293835540676,21.7263902032435,21.771963119506836,116876400,0.0,0.0,AAPL
2016-06-23 00:00:00-04:00,21.860826961449543,21.94057738759953,21.703603451018928,21.89728355407715,128960800,0.0,0.0,AAPL
2016-06-24 00:00:00-04:00,21.17041383892837,21.569167716421042,21.111169918940778,21.28206443786621,301245600,0.0,0.0,AAPL
2016-06-27 00:00:00-04:00,21.190926155767468,21.202319822190724,20.84913702422283,20.97218132019043,181958400,0.0,0.0,AAPL
2016-06-28 00:00:00-04:00,21.168133761908027,21.341307353025577,20.994960170790478,21.325355529785156,161779600,0.0,0.0,AAPL
2016-06-29 00:00:00-04:00,21.41194623924505,21.544105097006888,21.334473145980517,21.509925842285156,146124000,0.0,0.0,AAPL
2016-06-30 00:00:00-04:00,21.51903974417218,21.82209138908081,21.487139571023903,21.783355712890625,143345600,0.0,0.0,AAPL
2016-07-01 00:00:00-04:00,21.758295505384886,21.98159850165106,21.721838902207814,21.84943962097168,104106000,0.0,0.0,AAPL
2016-07-05 00:00:00-04:00,21.735499847311832,21.73777892721435,21.52359061552142,21.64435577392578,110820800,0.0,0.0,AAPL
2016-07-06 00:00:00-04:00,21.555491502686447,21.797023566016613,21.503084832172828,21.76740074157715,123796400,0.0,0.0,AAPL
2016-07-07 00:00:00-04:00,21.806129484012562,21.98841757900248,21.78790206525606,21.860816955566406,100558400,0.0,0.0,AAPL
